a1,a5a,DR,a10,a12,a15_rec,a16,taille_menage,g01bis,g02bis,g04bis,g05bis,g06bis,g07bis,g08bis,g09bis,g11bis,g12bis,g12_autre,g10bis,g13bis,g14bis,g16bis,g19bis,g19_autre_a_preciser,g03_unitbis,g03_dureebis,g15_unitbis,g15_dureebis,poids,strate
DIOURBEL,06107,061,Enfant biologiqueAdopte,Masculi,30-34ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,20,1698.3017578125,Rural
MATAM,11904,119,Chef de menage,Masculi,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,,,jour,20,1440.9833984375,Rural
DIOURBEL,06105,061,Beau-FrereBelle-S?ur,Feminin,30-34ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,semaines,18,1698.3017578125,Rural
DIOURBEL,05807,058,Chef de menage,Masculi,55-59ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,jour,12,1664.672119140625,Rural
THIES,09511,095,PereMere,Feminin,60-64ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Le trekking/marche/à pied,Perte de temps,,,,jour,11,821.7345581054688,Autres urbains
THIES,10306,103,Enfant biologiqueAdopte,Masculi,30-34ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,jour,10,1710.432495117188,Rural
LOUGA,10404,104,Beau-FrereBelle-S?ur,Feminin,25-29ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Demande en cours,La moto/le scooter/taxi jakarta,Perte de temps,,,,semaines,7,1866.035278320313,Rural
DAKAR,04201,042,Chef de menage,Masculi,50-54ans,Wolof, 6 à 10 personnes,Oui,Système solaire personnelgénérateur personnel,,,,,,,,,,,,Demande en cours,Taxi clando,Attente trop longue,,,,jour,6,1739.723754882813,Rural
DIOURBEL,06006,060,EpouseEpoux,Feminin,30-34ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Demande en cours,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,année,6,804.592529296875,Autres urbains
TAMBACOUNDA,07907,079,Chef de menage,Masculi,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Demande en cours,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,,,semaines,6,905.6793212890625,Autres urbains
